ID,卵或仔稚魚,風場,風場編號,海域,採樣日期,採樣西元年,採樣月,Month,風場編號+採樣年+月份,測站,日期+測站,民國年+測站,Type,科名,科中文名,學名,中文名,數量,濾水量(m^3),標準化豐度(ind./100m^3),Roundup,Egg diameter (mm),Oil globule (mm),Barcode No.,Date
32,魚卵,科技部,MOST-st.3,彰化海域,20171002,2017,10,Octobor,MOST-st.3-2017-Octobor,st.3,20171002-st.3,106-Octobor-st.3,3, Menidae,眼眶魚科,Mene maculata,眼眶魚 ,47,151.5362899,31.01567291,32,0.95,N/A,M-41,2017-10-02
33,魚卵,科技部,MOST-st.4,彰化海域,20171002,2017,10,Octobor,MOST-st.4-2017-Octobor,st.4,20171002-st.4,106-Octobor-st.4,1, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,1,148.2918101,0.674346074,1,1.45,N/A,M-42,2017-10-02
34,魚卵,科技部,MOST-st.4,彰化海域,20171002,2017,10,Octobor,MOST-st.4-2017-Octobor,st.4,20171002-st.4,106-Octobor-st.4,2, Synodontidae,合齒魚科,Synodus variegatus,花斑狗母魚 ,2,148.2918101,1.348692149,2,1.075,N/A,N/A,2017-10-02
35,魚卵,科技部,MOST-st.4,彰化海域,20171002,2017,10,Octobor,MOST-st.4-2017-Octobor,st.4,20171002-st.4,106-Octobor-st.4,3, Menidae,眼眶魚科,Mene maculata,眼眶魚 ,2,148.2918101,1.348692149,2,1,N/A,N/A,2017-10-02
36,魚卵,科技部,MOST-st.4,彰化海域,20171002,2017,10,Octobor,MOST-st.4-2017-Octobor,st.4,20171002-st.4,106-Octobor-st.4,4, Leiognathidae,鰏科,Equulites rivulatus,條馬鰏 ,5,148.2918101,3.371730372,4,0.65,N/A,M-43,2017-10-02
37,魚卵,科技部,MOST-st.5,彰化海域,20171002,2017,10,Octobor,MOST-st.5-2017-Octobor,st.5,20171002-st.5,106-Octobor-st.5,1, Leiognathidae,鰏科,Equulites rivulatus,條馬鰏 ,1,143.1388128,0.698622533,1,0.725,N/A,N/A,2017-10-02
38,魚卵,科技部,MOST-st.1,彰化海域,20180104,2018,1,January,MOST-st.1-2018-January,st.1,20180104-st.1,107-January-st.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-01-04
39,魚卵,科技部,MOST-st.2,彰化海域,20180104,2018,1,January,MOST-st.2-2018-January,st.2,20180104-st.2,107-January-st.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-01-04
40,魚卵,科技部,MOST-st.3,彰化海域,20180104,2018,1,January,MOST-st.3-2018-January,st.3,20180104-st.3,107-January-st.3,1, Moronidae,狼鱸科,Lateolabrax japonicus,日本花鱸 ,4,168.7129474,2.370890949,3,1.4,0.55,M-48,2018-01-04
41,魚卵,科技部,MOST-st.3,彰化海域,20180104,2018,1,January,MOST-st.3-2018-January,st.3,20180104-st.3,107-January-st.3,2, Triglidae,角魚科,Chelidonichthys spinosus,棘黑角魚 ,2,168.7129474,1.185445475,2,1.35,0.3,M-49,2018-01-04
42,魚卵,科技部,MOST-st.4,彰化海域,20180104,2018,1,January,MOST-st.4-2018-January,st.4,20180104-st.4,107-January-st.4,1, Synodontidae,合齒魚科,Harpadon nehereus,印度鐮齒魚 ,4,157.6435459,2.537369975,3,1.05,N/A,M-50,2018-01-04
43,魚卵,科技部,MOST-st.5,彰化海域,20180104,2018,1,January,MOST-st.5-2018-January,st.5,20180104-st.5,107-January-st.5,1,Unknown,未知科別,unknown,未知物種,2,241.2366126,0.82906155,1,0.8,0.325,M-51,2018-01-04
44,魚卵,科技部,MOST-st.5,彰化海域,20180104,2018,1,January,MOST-st.5-2018-January,st.5,20180104-st.5,107-January-st.5,2,Unknown,未知科別,unknown,未知物種,1,241.2366126,0.414530775,1,0.775,N/A,M-52,2018-01-04
45,仔稚魚,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,1, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,1,198.4858205,0.503814327,1,N/A,N/A,M-20,2017-07-28
46,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,1,Ptereleotridae,凹尾塘鳢科,Ptereleotris rubristigma,紅點凹尾塘鳢,5,236.2744671,2.116182955,3,N/A,N/A,M-21,2017-07-28
47,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,2, Istiophoridae,旗魚科,Istiophorus platypterus,雨傘旗魚 ,2,236.2744671,0.846473182,1,N/A,N/A,M-22,2017-07-28
48,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,3, Holocentridae,金鱗魚科,Sargocentron rubrum,黑帶棘鰭魚 ,2,236.2744671,0.846473182,1,N/A,N/A,M-23,2017-07-28
49,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,4, Carangidae,鰺科,Scomberoides tol,托爾逆鈎鰺 ,1,236.2744671,0.423236591,1,N/A,N/A,M-24,2017-07-28
50,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,5, Lutjanidae,笛鯛科,Lutjanus fulviflamma,火斑笛鯛 ,1,236.2744671,0.423236591,1,N/A,N/A,M-25,2017-07-28
51,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,6, Soleidae,鰨科,Pardachirus pavoninus,眼斑豹鰨 ,1,236.2744671,0.423236591,1,N/A,N/A,M-26,2017-07-28
52,仔稚魚,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,7, Priacanthidae,大眼鯛科,Priacanthus macracanthus,大棘大眼鯛 ,1,236.2744671,0.423236591,1,N/A,N/A,M-27,2017-07-28
53,仔稚魚,科技部,MOST-st.3,彰化海域,20170728,2017,7,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,1, Holocentridae,金鱗魚科,Myripristis amaena,大眼鋸鱗魚,1,170.0489097,0.588066105,1,N/A,N/A,M-28,2017-07-28
54,仔稚魚,科技部,MOST-st.3,彰化海域,20170728,2017,7,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,2,Gonostomatidae,鑽光魚科,Cyclothone braueri,勃氏圓罩魚,1,170.0489097,0.588066105,1,N/A,N/A,M-29,2017-07-28
55,仔稚魚,科技部,MOST-st.3,彰化海域,20170728,2017,7,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,3, Carangidae,鰺科,Scomberoides tol,托爾逆鈎鰺 ,3,170.0489097,1.764198316,2,N/A,N/A,M-30,2017-07-28
56,仔稚魚,科技部,MOST-st.3,彰化海域,20170728,2017,7,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,4, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,1,170.0489097,0.588066105,1,N/A,N/A,M-31,2017-07-28
57,仔稚魚,科技部,MOST-st.4,彰化海域,20170728,2017,7,July,MOST-st.4-2017-July,st.4,20170728-st.4,106-July-st.4,1, Scombridae,鯖科,Auxis rochei rochei,圓花鰹 ,1,167.3769851,0.597453706,1,N/A,N/A,M-32,2017-07-28
58,仔稚魚,科技部,MOST-st.5,彰化海域,20170728,2017,7,July,MOST-st.5-2017-July,st.5,20170728-st.5,106-July-st.5,1, Carangidae,鰺科,Alepes kleinii,克氏副葉鰺 ,1,188.1798259,0.531406592,1,N/A,N/A,M-33,2017-07-28
59,仔稚魚,科技部,MOST-st.5,彰化海域,20170728,2017,7,July,MOST-st.5-2017-July,st.5,20170728-st.5,106-July-st.5,2, Clupeidae,鯡科,Sardinella jussieu,裘氏小沙丁魚 ,1,188.1798259,0.531406592,1,N/A,N/A,M-34,2017-07-28
60,仔稚魚,科技部,MOST-st.5,彰化海域,20170728,2017,7,July,MOST-st.5-2017-July,st.5,20170728-st.5,106-July-st.5,3,Gobiidae,鰕虎科,Amoya pflaumi,普氏韁鰕虎,4,188.1798259,2.125626368,3,N/A,N/A,M-35,2017-07-28
61,仔稚魚,科技部,MOST-st.5,彰化海域,20170728,2017,7,July,MOST-st.5-2017-July,st.5,20170728-st.5,106-July-st.5,4, Sillaginidae,沙鮻科,Sillago asiatica,亞洲沙鮻 ,7,188.1798259,3.719846144,4,N/A,N/A,M-36,2017-07-28
62,仔稚魚,科技部,MOST-st.1,彰化海域,20171002,2017,10,Octobor,MOST-st.1-2017-Octobor,st.1,20171002-st.1,106-Octobor-st.1,1, Mullidae,鬚鯛科,Upeneus japonicus,日本緋鯉 ,1,197.7224135,0.505759556,1,N/A,N/A,M-44,2017-10-02
63,仔稚魚,科技部,MOST-st.1,彰化海域,20171002,2017,10,Octobor,MOST-st.1-2017-Octobor,st.1,20171002-st.1,106-Octobor-st.1,2, Scorpaenidae,鮋科,Scorpaena neglecta,斑鰭鮋 ,1,197.7224135,0.505759556,1,N/A,N/A,M-45,2017-10-02
64,仔稚魚,科技部,MOST-st.2,彰化海域,20171002,2017,10,Octobor,MOST-st.2-2017-Octobor,st.2,20171002-st.2,106-Octobor-st.2,N/A,N/A,N/A,N/A,N/A,0,254.2145316,0,0,N/A,N/A,N/A,2017-10-02
65,仔稚魚,科技部,MOST-st.3,彰化海域,20171002,2017,10,Octobor,MOST-st.3-2017-Octobor,st.3,20171002-st.3,106-Octobor-st.3,1, Myctophidae,燈籠魚科,Bolinichthys sp.,虹燈魚屬sp.,2,151.5362899,1.319815868,2,N/A,N/A,M-46,2017-10-02
66,仔稚魚,科技部,MOST-st.4,彰化海域,20171002,2017,10,Octobor,MOST-st.4-2017-Octobor,st.4,20171002-st.4,106-Octobor-st.4,N/A,N/A,N/A,N/A,N/A,0,148.2918101,0,0,N/A,N/A,N/A,2017-10-02
67,仔稚魚,科技部,MOST-st.5,彰化海域,20171002,2017,10,Octobor,MOST-st.5-2017-Octobor,st.5,20171002-st.5,106-Octobor-st.5,1, Sillaginidae,沙鮻科,Sillago sihama,多鱗沙鮻 ,1,143.1388128,0.698622533,1,N/A,N/A,M-47,2017-10-02
68,仔稚魚,科技部,MOST-st.1,彰化海域,20180104,2018,1,January,MOST-st.1-2018-January,st.1,20180104-st.1,107-January-st.1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-01-04
69,仔稚魚,科技部,MOST-st.2,彰化海域,20180104,2018,1,January,MOST-st.2-2018-January,st.2,20180104-st.2,107-January-st.2,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,2018-01-04
70,仔稚魚,科技部,MOST-st.3,彰化海域,20180104,2018,1,January,MOST-st.3-2018-January,st.3,20180104-st.3,107-January-st.3,1, Moronidae,狼鱸科,Lateolabrax japonicus,日本花鱸 ,10,168.7129474,5.927227373,6,N/A,N/A,M-53,2018-01-04
71,仔稚魚,科技部,MOST-st.4,彰化海域,20180104,2018,1,January,MOST-st.4-2018-January,st.4,20180104-st.4,107-January-st.4,1, Mugilidae,鯔科,Mugil cephalus,鯔 ,1,157.6435459,0.634342494,1,N/A,N/A,M-54,2018-01-04
72,仔稚魚,科技部,MOST-st.5,彰化海域,20180104,2018,1,January,MOST-st.5-2018-January,st.5,20180104-st.5,107-January-st.5,N/A,N/A,N/A,N/A,N/A,0,241.2366126,0,0,N/A,N/A,N/A,2018-01-04
