id,EC,Effort,GPS,Time,,Latitude(N),,,Longitude(E),,,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
192,LP,OFF,872,09,33 ,24,5,159,120,25,195,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ,-,-,-,-,-
193,BE,ON,873,09,59,24,5,787,120,22,349,-,-,Cd,1,1,1.5 ,7.9 ,1,-,-,-,-,-,MG,0,0,0,0,船首小潑浪
194,R13,ON,874,10,2,24,6,016,120,22,496,8.2 ,022,Cd,1,1,1.5 ,9.0 ,1,33.6,30,8.17 ,11.2,-,MG,0,0,0,0,-
195,R12,ON,875,10,10,24,7,044,120,23,011,8.1,025,Cd,1,1,1.5 ,9.3 ,1,31.5,30.8,8.18 ,8.66,-,MG,0,0,0,0,-
196,R11,ON,876,10,17,24,8,004,120,23,497,8.3,024,Cd,1,1,1.5 ,4.3 ,1,32.7 ,30.6,8.19 ,15.2,-,MG,0,0,0,0,-
197,R10,ON,877,10,25,24,9,002,120,23,925,8.3 ,028,PC,0,1,1.5 ,6.0 ,1,31.9 ,30.3,8.25 ,19.8,-,CB,0,0,0,0,-
198,R9,ON,878,10,34,24,10,001,120,24,754,8.1 ,038,PC,0,1,1.5 ,6.8 ,1,33.4 ,30.4,8.23 ,13,-,CB,0,0,0,0,-
199,R8,ON,879,10,44,24,11,003,120,25,635,8.2 ,040,Cd,0,1,1.5 ,9.8 ,1,33.5 ,30.6,8.25 ,11.6,-,YJ,0,0,0,0,-
200,R7,ON,880,10,53,24,12,001,120,26,353,7.9 ,033,PC,0,1,1.5 ,8.6 ,1,33.8 ,29.8,8.27 ,11.1,-,YJ,0,0,0,0,-
201,R6,ON,881,11,2,24,12,992,120,27,236,8.3 ,033,PC,0,1,1.5 ,12.3 ,2,33.6 ,30.1 ,8.27 ,8.6,-,MO,0,0,0,0,湧浪/稍有白浪花/稍有水氣
202,R5,ON,882,11,11,24,14,003,120,27,930,8.4 ,030,PC,1,2,1.5 ,16.3 ,2,33.6 ,30.5 ,8.26 ,8.15,-,MO,0,0,0,0,湧浪
203,R4,ON,883,11,20,24,15,001,120,28,490,7.9 ,033,PC,1,2,1.5 ,16.7 ,2,33.5 ,30.7 ,8.26 ,4.51,-,JQ,0,1,1,0,約十艘貨輪停在外海
204,R3,ON,884,11,28,24,16,003,120,29,144,8.0 ,035,PC,1,2,1.5 ,16.0 ,2,33.6 ,30.6 ,8.29 ,5.76,-,JQ,0,1,0,0,-
205,R2,ON,885,11,37,24,17,008,120,29,739,8.0 ,024,PC,1,2,1.5 ,11.9 ,3,33.5 ,30.8 ,-,5.43,-,MG,0,0,0,0,-
206,C,ON,886,11,43,24,17,572,120,29,309,-,-,-,-,-,-,-,-,33.3 ,30.7 ,8.27 ,5.42,-,MG,0,0,0,0,船310豚340/NW
207,LS,ON,893,12,21,24,16,334,120,29,464,-,-,-,-,-,-,14.1 ,-,33.6 ,30.8,8.25 ,5.21,-,MG,-,-,-,-,-
208,R3,ON,895,12,25,24,15,978,120,29,151,7.4 ,212,PC,1,1,1.5 ,16.2 ,2,33.5 ,31.2,8.26 ,7.76,-,MG,1,1,0,0,-
209,R4,ON,897,12,35,24,14,999,120,28,493,7.3 ,209,PC,1,1,1.5 ,7.2 ,2,33.5 ,30.5,8.24 ,5.25,-,CB,0,0,0,0,船首小潑浪
210,R5,ON,898,12,44,24,14,003,120,27,903,7.7 ,210,PC,1,1,1.5 ,16.7 ,2,33.5 ,31.3,8.24 ,9.44,-,CB,0,0,0,0,-
211,R6,ON,899,12,53,24,12,999,120,27,233,8.2 ,222,PC,1,1,1.5 ,3.1 ,2,33.5 ,32,8.23 ,10.6,-,YJ,0,0,0,0,-
212,R7,ON,900,13,3,24,12,000,120,26,369,8.4 ,221,Cd,1,1,1.5 ,9.0 ,2,33.6 ,30.6,8.26 ,8.09,-,YJ,0,0,0,0,-
213,R8,ON,901,13,12,24,10,999,120,25,648,7.8 ,210,PC,0,2,1.5 ,10.2 ,3,33.7 ,30.3 ,8.24 ,9.57,-,MO,0,0,0,0,-
214,R9,ON,902,13,22,24,9,999,120,24,754,8.1 ,224,PC,0,2,1.5 ,7.7 ,3,33.3 ,30.6,8.22 ,10.2,-,MO,0,0,0,0,-
215,R10,ON,903,13,31,24,9,003,120,23,929,8.3 ,215,Cd,0,2,1.5 ,7.1 ,3,33.1 ,30.6,8.21 ,13.5,-,JQ,0,0,0,0,-
216,R11,ON,904,13,39,24,8,008,120,23,509,8.9 ,201,Cd,0,2,1.5 ,5.4 ,3,33.1 ,30.8,8.22 ,14,-,JQ,0,0,0,0,-
217,R12,ON,905,13,47,24,7,017,120,23,023,8.3 ,206,Cd,0,2,1.5 ,10.7 ,3,33.6 ,30.2,8.29 ,9.96,-,MG,0,0,0,0,-
218,R13,ON,906,13,55,24,6,020,120,22,485,8.4 ,205,Cd,0,2,1.5 ,10.3 ,3,33.6 ,30.3,8.26 ,11.5,-,MG,0,0,0,0,-
219,R14,ON,907,14,3,24,5,000,120,22,010,8.7 ,202,Cd,0,2,1.5 ,12.2 ,3,33.6 ,30.8,8.26 ,12.8,-,CB,0,0,0,0,-
220,R15/cc,ON,908,14,11,24,4,019,120,21,489,7.8 ,199,Cd,0,2,1.5 ,9.8 ,3,33.7 ,30.1,8.27 ,7.7,-,CB,0,0,0,1,-
221,R14,ON,909,14,20,24,5,001,120,21,977,7.3 ,020,Cd,0,2,1.5 ,12.5 ,3,33.6 ,30.1,8.25 ,16.1,-,YJ,0,0,0,0,-
222,EE/R,ON,910,14,28,24,5,865,120,22,413,7.7 ,023,Cd,0,2,1.5 ,10.1 ,3,33.5 ,30.5 ,8.22 ,12.5,-,YJ,0,0,0,0,-
223,BP,OFF,911,14,53,24,05,193,120,25,166,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
