序號,年,月,日,時,航次代碼,測站,下網點緯度,下網點經度,起網點緯度,起網點經度,屬名,拉丁種名,學名,英文科名,中文科名,中文名稱,總數,總重(g),表水溫(℃),Sal(ppt),DO%,DO(mg/L),pH,Date,Time,下網點Lat,下網點Long,起網點Lat,起網點Long
1,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Cynoglossus,bilineatus,Cynoglossus bilineatus,Cynoglossidae,舌鰨科,雙線舌鰨,2,385.2,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
2,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Equulites,absconditus,Equulites absconditus,Leiognathidae,鰏科,秘馬鰏,356,575,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
3,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Lagocephalus,lunaris,Lagocephalus lunaris,Tetraodontidae,四齒魨科,月尾兔頭魨,6,255.7,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
4,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Lagocephalus,sceleratus,Lagocephalus sceleratus,Tetraodontidae,四齒魨科,圓斑兔頭魨,1,138,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
5,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Liachirus,melanospilos,Liachirus melanospilos,Soleidae,鰨科,黑斑圓鱗鰨,3,38.4,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
6,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Pennahia,pawak,Pennahia pawak,Sciaenidae,石首魚科,斑鰭白姑魚,5,184.6,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
7,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Rhynchobatus,immaculatus,Rhynchobatus immaculatus,Rhynchobatidae,龍紋鱝科,無斑龍紋鱝,2,305.4,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
8,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Saurida,tumbil,Saurida tumbil,Synodontidae,合齒魚科,多齒蛇鯔,10,156.7,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
9,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Trachinocephalus,myops,Trachinocephalus myops,Synodontidae,合齒魚科,準大頭狗母魚,2,16.7,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
10,2017,07,05,09,M-WF-1,FS20,N24°02.742,E120°16.717,N24°03.857,E120°17.298,Upeneus,japonicus,Upeneus japonicus,Mullidae,鬚鯛科,日本緋鯉,22,141.8,29.6,27.4,104,7.91,8.1,2017-07-05,09:00:00,24.0457,120.278616666667,24.0642833333333,120.2883
11,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Arius,spp.,Arius spp.,Ariidae,海鯰科,海鯰 spp.,2,936.7,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
