id,EC,Effort,GPS,Time,,Latitude(N),,,Longitude(E),,,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
157,LP,OFF,439,04,56 ,24,5,178,120,25,188,-,-,-,-,-,-,-,-,-,-,-,-,-,JL,-,-,-,-,-
158,R13,ON,440,05,22,24,6,019,120,22,486,6.6 ,022,CD,0,0,1.5 ,8.9 ,2,33.8 ,30.3,8.04 ,5.0 ,-,JL,0,0,0,0,-
159,R12,ON,441,05,32,24,7,001,120,22,992,6.8 ,023,CD,0,0,1.5 ,9.2 ,3,33.8,30.6,8.06 ,6.5 ,-,JL,0,0,0,0,-
160,R11,ON,442,05,41,24,8,021,120,23,501,7.1,021,CD,0,0,1.5 ,2.9 ,3,33.7,30.6,8.07 ,8.0 ,-,JL,0,0,0,0,-
161,R10,ON,443,05,51,24,9,107,120,23,922,7.5,021,PC,0,0,1.5 ,5.6 ,3,33.8 ,30.7,8.08 ,7.3 ,-,CB,0,0,0,0,-
162,R9,ON,444,06,1,24,10,018,120,24,773,7.1 ,042,PC,0,0,1.5 ,4.2 ,3,33.2 ,30.8,8.09 ,6.6 ,-,CB,0,0,0,0,-
163,R8,ON,445,06,11,24,11,000,120,25,645,7.4 ,037,PC,0,0,1.5 ,7.3 ,3,33.1 ,30.9,8.08 ,9.0 ,-,FF,0,0,0,0,-
164,S,OFF,446,06,16,24,11,395,120,25,942,-,-,PC,0,0,1.5 ,-,-,-,-,-,-,-,FF,0,0,0,0,豚12船30
165,CS,OFF,-,-,-,24,-,-,120,-,-,-,-,PC,0,0,1.5 ,-,-,32.1 ,30.8,8.08 ,11.4 ,-,FF,0,0,0,0,-
166,LS,OFF,457,06,50,24,11,406,120,26,338,-,-,-,-,-,-,2.9 ,-,32.3 ,30.8 ,8.07 ,13.5 ,-,FF,-,-,-,-,-
167,R7/BT,ON,458,06,58,24,12,001,120,26,375,7.7 ,033,PC,0,0,1.2 ,5.9 ,3,30.3 ,30.4 ,8.07 ,12.0 ,-,FF,0,0,0,0,-
168,R6,ON,459,07,8,24,13,000,120,27,253,7.5 ,042,CD,0,0,1.2 ,9.5 ,3,19.4 ,30.4 ,7.95 ,27.7 ,-,FF,0,0,0,0,-
169,R5,ON,460,07,18,24,14,039,120,27,903,7.5 ,023,CD,0,0,1.2 ,13.0 ,3,34.1 ,30.6 ,8.10 ,3.6 ,-,YJ,0,0,0,0,-
170,R4,OFF,461,07,28,24,15,025,120,28,513,7.7 ,022,CD,0,0,1.2 ,13.2 ,3,34.0 ,30.8 ,8.11 ,4.0 ,-,YJ,0,0,0,0,-
171,R3,ON,462,07,36,24,16,000,120,29,176,7.7 ,038,CD,0,0,1.2 ,12.2 ,2,34.1 ,30.6 ,8.10 ,2.5 ,-,FL,0,0,0,0,-
172,R2,ON,463,07,45,24,17,003,120,29,740,7.8 ,031,CD,0,0,1.2 ,8.2 ,2,33.9 ,30.6 ,8.11 ,2.5 ,-,FL,0,0,0,0,-
173,S,OFF,464,07,52,24,17,649,120,29,249,-,-,-,-,-,-,-,-,-,-,-,-,-,JL,-,-,-,-,發現海豚，只見一眼
174,R1/cc,ON,465,08,56,24,18,018,120,28,997,5.8 ,140,CD,0,0,1.5 ,23.1 ,1,33.9 ,30.8 ,8.11 ,3.0 ,-,JL,0,0,0,0,-
175,R2,ON,466,08,6,24,16,999,120,29,751,5.3 ,230,CD,0,0,1.5 ,8.1 ,1,33.7 ,30.9 ,8.11 ,2.9 ,-,JL,0,0,0,0,-
176,R3,ON,467,08,16,24,16,023,120,29,163,7.4 ,205,PC,0,0,1.5 ,12.4 ,1,34.1 ,30.7 ,8.12 ,2.8 ,-,CB,0,0,0,0,-
177,R4,ON,468,08,25,24,15,018,120,28,510,7.0 ,207,PC,0,0,1.5 ,13.1 ,1,33.8 ,30.8 ,8.11 ,2.7 ,-,CB,0,0,0,0,-
178,R5,ON,469,08,35,24,14,000,120,27,917,7.2 ,211,MC,0,0,1.5 ,12.6 ,1,33.7 ,31,8.10 ,3.0 ,-,FF,0,0,0,0,-
179,R6,ON,470,08,45,24,12,999,120,27,216,7.0 ,209,MC,0,0,1.5 ,9.4 ,1,11.5 ,30.3,7.76 ,58.5 ,-,FF,0,0,0,0,-
180,R7,ON,471,08,55,24,12,034,120,26,421,6.8 ,219,MC,0,0,1.5 ,5.5 ,1,32.6 ,31.2,8.06 ,12.9 ,-,YJ,0,0,0,0,船長GPS換電池
181,R8,ON,472,09,6,24,11,028,120,25,672,7.1 ,214,MC,0,0,1.5 ,6.3 ,1,33.6 ,31.2,8.09 ,5.1 ,-,YJ,0,0,0,0,-
182,R9,ON,473,09,17,24,9,999,120,24,757,6.8 ,221,MC,0,0,1.5 ,4.3 ,1,33.8 ,31,8.07 ,15.3 ,-,FL,0,0,0,0,-
183,R10,ON,474,09,29,24,8,998,120,23,845,6.5 ,216,MC,0,0,1.5 ,3.6 ,1,34.2 ,30.7,8.07 ,11.0 ,-,FL,0,0,0,0,-
184,R11,ON,475,09,39,24,8,021,120,23,415,6.2 ,194,MC,0,0,1.5 ,2.5 ,1,33.9 ,30.8,8.05 ,9.7 ,-,JL,0,0,0,0,-
185,R12,ON,476,09,48,24,7,011,120,23,040,6.2 ,206,MC,0,0,1.5 ,7.3 ,1,32.6 ,31.4,8.01 ,10.2 ,-,JL,0,0,0,0,-
186,R13,ON,477,09,58,24,6,015,120,22,479,6.5 ,210,PC,0,0,1.5 ,7.7 ,1,32.3 ,31.2,8.03 ,7.5 ,-,CB,0,0,0,0,船長GPS換電池
187,R14,ON,478,10,9,24,5,004,120,22,001,6.4 ,206,PC,0,0,1.5 ,9.7 ,1,32.3 ,31.2,8.01 ,11.3 ,-,CB,0,0,0,0,-
188,R15,ON,479,10,19,24,4,056,120,21,501,6.6 ,197,MC,0,0,1.5 ,7.5 ,1,34.1 ,30.7,8.06 ,16.7 ,-,FF,0,0,0,0,-
189,R14,ON,480,10,26,24,5,002,120,21,984,8.4 ,019,MC,0,0,1.5 ,10.0 ,1,30.0 ,31.6,7.99 ,13.8 ,-,FF,0,0,0,0,-
190,R13,OFF,481,10,34,24,6,001,120,22,478,8.4 ,019,MC,0,0,1.5 ,8.1 ,2,32.1 ,31.3,8.01 ,7.4 ,-,FF,0,0,0,0,-
191,BP,OFF,482,10,58,24,5,121,120,25,206,-,-,-,-,-,-,-,-,-,-,-,-,-,JL,-,-,-,-,-
